id;nazev_cz;nazev_en;trida_cz;cena;k_prohlidce
588;"Medojed";"Honey badger";"Savci";5000;1
590;"Klokánek králíkovitý";"Brush-tailed rat-kangaroo";"Savci";2000;1
592;"Kuskus pozemní";"Ground cuscus";"Savci";4000;1
602;"Irena tyrkysová";"Asian fairy bluebird";"Ptáci";1000;1
621;"Achatina žravá";"Giant African snail";"Bezobratlí";1000;1
623;"Sklípkan";"Baboon spider";"Bezobratlí";1000;1
628;"Mangusta liščí";"Yellow mongoose";"Savci";5000;1
633;"Vakoveverka létavá";"Sugar glider";"Savci";1000;1
635;"Veverka kapská";"Cape ground squirrel";"Savci";1000;1
641;"Tapír jihoamerický";"Lowland tapir";"Savci";10000;1
642;"Ketupa malajská";"Buffy fish-owl";"Ptáci";3000;1
643;"Klokan parma";"Parma wallaby";"Savci";3000;1
648;"Dvojzoborožec nosorožčí";"Rhinoceros hornbill";"Ptáci";3000;1
649;"Klokan Bennettův";"Bennett's wallaby";"Savci";3000;1
651;"Antilopa losí";"Eland antelope";"Savci";5000;1
652;"Voduška červená";"Southern lechwe";"Savci";5000;0
654;"Bazilišek zelený";"Plumed basilisk";"Plazi";1500;1
659;"Sojkovec rezavočelý";"Rufous-fronted laughingthrush";"Ptáci";1000;1
666;"Dytík úhorní";"Stone curlew";"Ptáci";1500;1
670;"Orlície bornejská";"Malaysian giant turtle";"Plazi";3000;1
671;"Leguánovec obojkový";"Common collared lizard";"Plazi";1000;1
673;"Želva černavá";"Giant Asian pond turtle";"Plazi";2000;1
684;"Dikobraz jihoafrický";"Cape porcupine";"Savci";2000;1
686;"Mangusta trpasličí";"Common dwarf mongoose";"Savci";2000;1
690;"Noháč africký";"Springhare";"Savci";2000;1
691;"Pes ušatý";"Bat-eared fox";"Savci";5000;1
695;"Plch savanový";"Lesser savanna dormouse";"Savci";1000;1
705;"Hroznýšek pestrý";"Kenya sand boa";"Plazi";2000;1
713;"Sleposcink Percivalův";"Percival's lance skink";"Plazi";1000;1
716;"Mabuja perleťová";"Rainbow skink";"Plazi";1000;1
717;"Kruhochvost nížinný";"Tropical girdled lizard";"Plazi";1000;1
719;"Scink ohnivý";"Red-flanked skink";"Plazi";1000;1
721;"Bičovec pestrý";"Whip spider";"Bezobratlí";1000;1
724;"Vejcožrout rezavý";"Rufous egg-eater";"Plazi";2000;1
726;"Mnohonožka";"Millipede";"Bezobratlí";1000;1
728;"Urzon kanadský";"North American porcupine";"Savci";2000;1
733;"Bulbul rudouchý";"Red-whiskered bulbul";"Ptáci";1000;1
737;"Kachna patagonská";"Crested duck";"Ptáci";1000;1
738;"Zebra Böhmova";"Plains zebra";"Savci";6000;1
741;"Kočka rybářská";"Fishing cat";"Savci";5000;1
745;"Nesyt africký";"Yellow-billed stork";"Ptáci";2500;0
746;"Kotul veverovitý";"Common squirrel monkey";"Savci";5000;1
748;"Makak vepří";"Pig-tail macaque";"Savci";5000;1
749;"Outloň váhavý";"Sunda slow loris";"Savci";2000;1
758;"Voduška abok";"Nile lechwe";"Savci";5000;0
760;"Čukvala zavalitá";"Common chuckwalla";"Plazi";1000;1
763;"Želva pardálí";"Leopard tortoise";"Plazi";2000;1
767;"Stříkoun lapavý";"Banded archerfish";"Ryby";1000;1
768;"Lezec";"Mudskipper";"Ryby";2000;1
770;"Bičovka stromová";"Oriental whip snake";"Plazi";2000;1
771;"Želva zubatá";"Asian leaf turtle";"Plazi";1000;1
772;"Želva tlustohrdlá";"Malaysian black mud turtle";"Plazi";1000;1
773;"Dlouhokrčka Siebenrockova";"Australian snake-necked turtle";"Plazi";1500;1
775;"Batagur tuntong";"Southern river terrapin";"Plazi";3000;1
776;"Varan komodský";"Komodo dragon";"Plazi";30000;1
781;"Gekončík východoafrický";"Somali-Masai clawed gecko";"Plazi";1000;1
784;"Zmije gabunská nosorožčí";"West African Gaboon viper";"Plazi";2000;1
786;"Anakonda velká";"Green anaconda";"Plazi";3000;1
791;"Čichavec líbající";"Kissing gourami";"Ryby";1000;0
800;"Husa domácí";" ";"Ptáci";1500;1
808;"Prase domácí";"Domestic pig";"Savci";2500;1
811;"Binturong";"Binturong";"Savci";7000;1
812;"Bojga ularburong";"Mangrove snake";"Plazi";2000;1
814;"Leguánek ostnitý";"Desert spiny lizard";"Plazi";1000;1
816;"Perlička supí";"Vulturine Guinea fowl";"Ptáci";1000;1
818;"Rýžovník šedý";"Java sparrow";"Ptáci";1000;1
820;"Veverka bušová";"Smith's bush squirrel";"Savci";1000;1
827;"Gueréza pláštíková";"Eastern black-and-white colobus monkey";"Savci";5000;1
830;"Želva kubánská";"North Antillean slider";"Plazi";1000;1
833;"Ještěrka obecná";"Sand lizard";"Plazi";1000;1
839;"Karetka novoguinejská";"Pig-nose river turtle";"Plazi";2000;1
845;"Trnucha Castexova";"Vermiculate river stingray";"Ryby";2000;1
854;"Hýl obecný";"Eurasian bullfinch";"Ptáci";1000;1
860;"Čírka úzkozobá";"Marbled teal";"Ptáci";1000;1
861;"Morčák bílý";"Smew";"Ptáci";1000;1
867;"Hrdlička čínská";"Spotted dove";"Ptáci";1000;1
868;"Sekavka nádherná (= mřenka nádherná)";"Clown loach";"Ryby";1000;0
870;"Satyr Temminckův";"Temminck's tragopan";"Ptáci";1000;1
871;"Kaložrout pruhovaný";"Banded scat";"Ryby";1000;1
874;"Gekon Turnerův";"Turner's gecko";"Plazi";1000;1
878;"Kaloň egyptský";"Egyptian fruit bat";"Savci";2000;1
895;"Člunozobec africký";"Shoebill";"Ptáci";6000;1
897;"Tygr malajský";"Malayan tiger";"Savci";50000;1
902;"Morčák prostřední";"Red-breasted merganser";"Ptáci";1000;1
907;"Korela chocholatá";"Cockatiel";"Ptáci";1000;1
909;"Hýl mexický";"House finch";"Ptáci";1000;1
910;"Papoušek vlnkovaný (= andulka vlnkovaná)";"Budgerigar";"Ptáci";1000;0
911;"Papoušek zpěvavý";"Red-rumped parrot";"Ptáci";1000;1
913;"Čichavec perleťový";"Pearl gourami";"Ryby";1000;0
915;"Šafránka velká";"Saffron finch";"Ptáci";1000;1
917;"Holub skalní";"Rock pigeon";"Ptáci";1000;1
919;"Špaček rudokřídlý";"Red-winged starling";"Ptáci";1000;1
927;"Krátkokrčka červenobřichá";"Australian red-bellied short-necked turtle";"Plazi";1500;1
938;"Maloočka lovecká";"Huntsman spider";"Bezobratlí";1000;1
939;"Amuřice Hoevenova";"Red-finned cigar shark";"Ryby";1000;0
940;"Čichavec drobnošupinný";"Moonlight gourami";"Ryby";1000;0
948;"Kaložrout skvrnitý";"Argusfish";"Ryby";1000;1
949;"Labeo černé";"Black shark";"Ryby";1000;0
950;"Labeo červenoocasé";"Red-tailed labeo";"Ryby";1000;0
952;"Labeo krásnoploutvé";"Thai flying fox";"Ryby";1000;0
953;"Okatec stříbřitý";"Silver mono";"Ryby";1000;1
960;"Parmička pruhoocasá";"Spanner barb";"Ryby";1000;0
964;"Parmička Schwanenfeldova";"Tinfoil barb";"Ryby";1000;0
967;"Parmička žraločí";"Bala shark";"Ryby";1000;0
978;"Trnorep zdobený";"Ornate spiny-tailed lizard";"Plazi";1000;1
980;"Želva egyptská";"Egyptian tortoise";"Plazi";1000;1
982;"Užovka hladká";"Smooth snake";"Plazi";1500;1
985;"Krajta nachová";"Blood python";"Plazi";2000;1
987;"Želva plochohřbetá";"Malayan flat-shelled turtle";"Plazi";2000;1
988;"Chameleon obrovský";"Oustalet's chameleon";"Plazi";3000;1
994;"Holub doupňák";"Stock pigeon";"Ptáci";1000;1
996;"Hrdlička divoká";"European turtle-dove";"Ptáci";1000;0
998;"Rozela pestrá";"Eastern rosella";"Ptáci";1000;1
1010;"Zvonek zelený";" ";"Ptáci";1000;1
1017;"Sojkovec jihočínský";"Red-tailed laughingthrush";"Ptáci";1000;1
1018;"Sojkovec šedohnědý";"Sunda laughingthrush";"Ptáci";1000;1
1019;"Lžičák pestrý";"Eurasian shoveler";"Ptáci";1000;1
1021;"Čejka žlutonohá";"African wattled lapwing";"Ptáci";1500;0
1024;"Ibis hagedaš";"Hadada ibis";"Ptáci";3000;1
1025;"Ibis hnědý";"Glossy ibis";"Ptáci";3000;1
1027;"Krysa velká";"African giant pouched rat";"Savci";1000;1
1028;"Komba Garnettova";"Garnett's greater galago";"Savci";2000;1
1031;"Karakal";"Caracal";"Savci";5000;1
1032;"Ovíječ filipínský";"Philippine palm civet";"Savci";5000;1
1047;"Pižmovka domácí";"Domestic Muscovy duck";"Ptáci";1500;1
1048;"Kur domácí";"Chicken";"Ptáci";1500;1
1056;"Toko žlutozobý";"Eastern yellow-billed hornbill";"Ptáci";2000;1
1057;"Kaloň rodriguezský";"Rodrigues fruit bat";"Savci";2000;1
1062;"Zlatohlávek konžský";"Sun beetle";"Bezobratlí";1000;1
1064;"Timálie zlatá";"Red-billed leiothrix";"Ptáci";1000;1
1067;"Šváb egyptský";"Egyptian cockroach";"Bezobratlí";1000;1
1069;"Žluna větší";"Greater yellownape";"Ptáci";1500;1
1071;"Varan antracitový";"Black tree monitor";"Plazi";1500;1
1072;"Varan molucký";"Moluccan yellow monitor";"Plazi";1500;1
1077;"Muntžak malý";"Chinese muntjac";"Savci";3000;1
1078;"Holoubek skořicový";"Ruddy ground-dove";"Ptáci";1000;1
1080;"Slípka modrá";"Purple swamphen";"Ptáci";1500;1
1082;"Drozd černoprsý";"Black-breasted thrush";"Ptáci";1000;1
1086;"Kos černý";"Common blackbird";"Ptáci";1000;1
1096;"Želva texaská (= Berlandierova)";"Texas tortoise";"Plazi";1000;1
1101;"Gaviál indický";"Indian gharial";"Plazi";30000;1
1102;"Holub příčkoprsý";"Barred cuckoo-dove";"Ptáci";1000;1
1105;"Leguánek modravý";"Baja blue rock lizard";"Plazi";1000;1
1111;"Sojkovec lesní";"Spotted laughingthrush";"Ptáci";1000;1
1112;"Želva korunkatá";"Crowned river turtle";"Plazi";2000;1
1115;"Želva bahenní";"European pond turtle";"Plazi";1000;1
1117;"Želva Smithova";"Brown roof turtle";"Plazi";1000;1
1121;"Osinák africký";"African brush-tailed porcupine";"Savci";2000;1
1127;"Bukáček malý";"Little bittern";"Ptáci";2000;1
1130;"Ježek západní";"Western hedgehog";"Savci";2000;0
1133;"Velemyš (krysa) obláčková";"Northern Luzon giant cloud rat";"Savci";4000;1
1140;"Majna žlutolící";"Yellow-faced mynah";"Ptáci";2000;1
1142;"Gundi";"Common gundi";"Savci";2000;1
1144;"Ovce tlustorohá";"Bighorn sheep";"Savci";3000;1
1148;"Zebu zakrslý";"Dwarf zebu";"Savci";5000;1
1150;"Myš pruhovaná";"Mesic mouse";"Savci";1000;0
1152;"Lori žlutoskvrnný";"Scaly-breasted lorikeet";"Ptáci";1500;1
1153;"Tapír čabrakový";"Malayan tapir";"Savci";10000;1
1154;"Sojkovec bělohrdlý";"White-throated laughingthrush";"Ptáci";1000;1
1155;"Šváb harlekýn";"Harlequin cockroach";"Bezobratlí";1000;1
1156;"Sojkovec vlnkohřbetý";"Barred laughingthrush";"Ptáci";1000;0
1158;"Teju červenavý";"Red tegu";"Plazi";1500;1
1160;"Želva tuniská";"Tunisian spur-thighed tortoise";"Plazi";1000;1
1163;"Bulbul černohlavý";"Black-headed bulbul";"Ptáci";1000;1
1164;"Čája obojková";"Southern screamer";"Ptáci";2500;0
1165;"Čečetka tmavá";"Lesser redpoll";"Ptáci";1000;1
1166;"Čejka australská";"Masked lapwing";"Ptáci";1500;1
1167;"Flétnák australský";"Australian magpie";"Ptáci";1500;0
1168;"Holub podkovní";"Spotted imperial pigeon";"Ptáci";1000;1
1169;"Holub wonga";"Wonga pigeon";"Ptáci";1000;1
1170;"Holub zelenokřídlý";"Emerald dove";"Ptáci";1000;1
1173;"Jeřáb laločnatý";"Wattled crane";"Ptáci";2500;1
1174;"Jespák bojovný";"Ruff";"Ptáci";1500;1
1175;"Kachna temná";"African black duck";"Ptáci";1000;1
1176;"Kladivouš africký";"Hamerkop";"Ptáci";3000;1
1179;"Pisila čáponohá";"Black-winged stilt";"Ptáci";1500;1
1182;"Sojkovec dvoubarvý";"Black-and-white laughingthrush";"Ptáci";1000;1
1183;"Sojkovec rezavokřídlý";"Chestnut-winged laughingthrush";"Ptáci";1000;1
1187;"Špaček rudooký";"Asian glossy starling";"Ptáci";1000;1
1188;"Tenkozobec opačný";"Pied avocet";"Ptáci";1500;1
1189;"Tkalčík bělohlavý";"White-headed buffalo weaver";"Ptáci";1000;1
1190;"Žluva hajní";"Eurasian golden oriole";"Ptáci";1000;1
1191;"Lori vlnkovaný";"Mindanao lorikeet";"Ptáci";1500;1
1192;"Kystráček indonéský";"Helmeted friarbird";"Ptáci";1000;1
1193;"Leguán modravý";"Blue iguana";"Plazi";15000;1
1197;"Bažant Wallichův";"Cheer pheasant";"Ptáci";1000;1
1198;"Bažant vietnamský";"Vietnamese pheasant";"Ptáci";1000;1
1202;"Papoušek nádherný";"Superb parrot";"Ptáci";1000;1
1208;"Zoborožec bělovlasatý";"White-crested hornbill";"Ptáci";2000;1
1210;"Holub domácí";"Domestic pigeon";"Ptáci";1000;1
1212;"Ovce domácí";"Domestic sheep";"Savci";2000;1
1213;"Koza domácí";"Domestic goat";"Savci";2000;1
1214;"Agama stepní";"Steppe agama";"Plazi";1000;1
1215;"Agama turkestánská";"Turkestan rock agama";"Plazi";1500;1
1216;"Felzuma Standingova";"Standing's day gecko";"Plazi";1000;1
1218;"Chřestýš kostkovaný";"Eastern diamondback rattlesnake";"Plazi";1500;1
1219;"Holub zlatoprsý";"Cinnamon ground-dove";"Ptáci";1000;0
1226;"Trnoještěr kozí";"Green pricklenape";"Plazi";1000;1
1227;"Trnorep mezopotámský";"Iraqi spiny-tailed lizard";"Plazi";1000;1
1231;"Sova indická";"Oriental bay-owl";"Ptáci";3000;1
1232;"Ropucha jihoafrická";"Karoo toad";"Obojživelníci";1000;1
1233;"Agamka písečná";"Toad-headed agama";"Plazi";1500;1
1237;"Dvojzoborožec hnědavý";"Rufous hornbill";"Ptáci";3000;1
1238;"Výreček filipínský";"Philippine scops-owl";"Ptáci";3000;1
1239;"Volavka vlasatá";"Squacco heron";"Ptáci";2000;1
1240;"Špaček holohlavý";"Coleto";"Ptáci";1500;1
1241;"Sojkovec modrotemenný";"Blue-crowned laughingthrush";"Ptáci";1000;1
1244;"Mara slaništní";"Chacoan mara";"Savci";1000;1
1245;"Kachnička obojková";"Cotton pygmy-goose";"Ptáci";1000;1
1247;"Gekon turkestánský";"Turkestan thin-toed gecko";"Plazi";1000;1
1248;"Gekon zázračný";"Turkestan plate-tailed gecko";"Plazi";1000;1
1251;"Mabuja kapverdská";"Vaillant's mabuya";"Plazi";1000;1
1252;"Křovinář ostnitý";"Eyelash palm-pitviper";"Plazi";1500;1
1253;"Paještěrka písečná";"Reticulate racerunner";"Plazi";2000;1
1255;"Želva ostnitá";"Spiny turtle";"Plazi";2000;1
1257;"Koroptev hnědoprsá";"Brown-breasted hill-partridge";"Ptáci";1000;1
1265;"Čírka diamantová";"Hottentot teal";"Ptáci";1000;1
1267;"Čírka žlutozobá";"Speckled teal";"Ptáci";1000;1
1270;"Morčák šupinatý";"Scaly-sided merganser";"Ptáci";1000;1
