Region,Country,City,Day,AvgTemperature
Africa,Egypt,Cairo,12,70.6
Africa,Egypt,Cairo,13,72.4
Africa,Egypt,Cairo,14,71.0
Africa,Egypt,Cairo,15,70.0
Africa,Egypt,Cairo,16,70.5
Africa,Egypt,Cairo,17,70.6
Africa,Egypt,Cairo,18,70.2
Africa,Egypt,Cairo,19,68.8
Africa,Egypt,Cairo,20,69.0
Africa,Egypt,Cairo,21,64.2
Africa,Egypt,Cairo,22,63.4
Africa,Egypt,Cairo,23,63.8
Africa,Egypt,Cairo,24,64.1
Africa,Egypt,Cairo,25,64.9
Africa,Egypt,Cairo,26,65.0
Africa,Egypt,Cairo,27,65.1
Africa,Egypt,Cairo,28,67.4
Africa,Egypt,Cairo,29,65.7
Africa,Egypt,Cairo,30,64.3
Africa,Ethiopia,Addis Ababa,1,60.9
Africa,Ethiopia,Addis Ababa,2,65.1
Africa,Ethiopia,Addis Ababa,3,64.3
Africa,Ethiopia,Addis Ababa,4,64.3
Africa,Ethiopia,Addis Ababa,5,63.0
Africa,Ethiopia,Addis Ababa,6,60.7
Africa,Ethiopia,Addis Ababa,7,58.6
Africa,Ethiopia,Addis Ababa,8,60.5
Africa,Ethiopia,Addis Ababa,9,62.6
Africa,Ethiopia,Addis Ababa,10,62.7
Africa,Ethiopia,Addis Ababa,11,59.7
Africa,Ethiopia,Addis Ababa,12,56.9
Africa,Ethiopia,Addis Ababa,13,67.2
Africa,Ethiopia,Addis Ababa,14,63.2
Africa,Ethiopia,Addis Ababa,15,60.6
Africa,Ethiopia,Addis Ababa,16,59.6
Africa,Ethiopia,Addis Ababa,17,53.9
Africa,Ethiopia,Addis Ababa,18,59.6
Africa,Ethiopia,Addis Ababa,19,-99.0
Africa,Ethiopia,Addis Ababa,20,59.0
Africa,Ethiopia,Addis Ababa,21,65.1
Africa,Ethiopia,Addis Ababa,22,62.7
Africa,Ethiopia,Addis Ababa,23,63.3
Africa,Ethiopia,Addis Ababa,24,60.9
Africa,Ethiopia,Addis Ababa,25,65.5
Africa,Ethiopia,Addis Ababa,26,60.5
Africa,Ethiopia,Addis Ababa,27,59.1
Africa,Ethiopia,Addis Ababa,28,62.7
Africa,Ethiopia,Addis Ababa,29,60.0
Africa,Ethiopia,Addis Ababa,30,59.2
Africa,Gabon,Libreville,1,78.8
Africa,Gabon,Libreville,2,77.6
Africa,Gabon,Libreville,3,80.3
Africa,Gabon,Libreville,4,78.5
Africa,Gabon,Libreville,5,79.3
Africa,Gabon,Libreville,6,79.7
Africa,Gabon,Libreville,7,79.6
Africa,Gabon,Libreville,8,78.4
Africa,Gabon,Libreville,9,79.8
Africa,Gabon,Libreville,10,78.8
Africa,Gabon,Libreville,11,80.7
Africa,Gabon,Libreville,12,76.9
Africa,Gabon,Libreville,13,79.9
Africa,Gabon,Libreville,14,79.2
Africa,Gabon,Libreville,15,78.6
Africa,Gabon,Libreville,16,79.4
Africa,Gabon,Libreville,17,80.2
Africa,Gabon,Libreville,18,78.7
Africa,Gabon,Libreville,19,79.0
Africa,Gabon,Libreville,20,80.7
Africa,Gabon,Libreville,21,81.1
Africa,Gabon,Libreville,22,81.0
Africa,Gabon,Libreville,23,78.0
Africa,Gabon,Libreville,24,79.6
Africa,Gabon,Libreville,25,82.1
Africa,Gabon,Libreville,26,79.3
Africa,Gabon,Libreville,27,81.0
Africa,Gabon,Libreville,28,79.7
Africa,Gabon,Libreville,29,80.1
Africa,Gabon,Libreville,30,80.5
Africa,Gambia,Banjul,1,83.7
Africa,Gambia,Banjul,2,85.1
Africa,Gambia,Banjul,3,-99.0
Africa,Gambia,Banjul,4,-99.0
Africa,Gambia,Banjul,5,-99.0
Africa,Gambia,Banjul,6,-99.0
Africa,Gambia,Banjul,7,-99.0
Africa,Gambia,Banjul,8,-99.0
Africa,Gambia,Banjul,9,-99.0
Africa,Gambia,Banjul,10,-99.0
Africa,Gambia,Banjul,11,-99.0
Africa,Gambia,Banjul,12,-99.0
Africa,Gambia,Banjul,13,-99.0
Africa,Gambia,Banjul,14,-99.0
Africa,Gambia,Banjul,15,-99.0
Africa,Gambia,Banjul,16,-99.0
Africa,Gambia,Banjul,17,-99.0
Africa,Gambia,Banjul,18,-99.0
Africa,Gambia,Banjul,19,-99.0
Africa,Gambia,Banjul,20,-99.0
Africa,Gambia,Banjul,21,-99.0
Africa,Gambia,Banjul,22,-99.0
Africa,Gambia,Banjul,23,-99.0
Africa,Gambia,Banjul,24,81.3
Africa,Gambia,Banjul,25,80.0
Africa,Gambia,Banjul,26,80.1
Africa,Gambia,Banjul,27,82.6
Africa,Gambia,Banjul,28,80.6
Africa,Gambia,Banjul,29,78.2
Africa,Gambia,Banjul,30,78.8
Africa,Guinea,Conakry,1,78.2
Africa,Guinea,Conakry,2,85.1
Africa,Guinea,Conakry,3,81.5
Africa,Guinea,Conakry,4,79.5
Africa,Guinea,Conakry,5,80.3
Africa,Guinea,Conakry,6,80.6
Africa,Guinea,Conakry,7,82.2
Africa,Guinea,Conakry,8,81.4
Africa,Guinea,Conakry,9,78.6
Africa,Guinea,Conakry,10,81.9
Africa,Guinea,Conakry,11,83.6
Africa,Guinea,Conakry,12,83.8
Africa,Guinea,Conakry,13,85.0
Africa,Guinea,Conakry,14,84.0
Africa,Guinea,Conakry,15,83.2
Africa,Guinea,Conakry,16,84.0
Africa,Guinea,Conakry,17,81.8
Africa,Guinea,Conakry,18,82.1
Africa,Guinea,Conakry,19,82.7
Africa,Guinea,Conakry,20,81.6
Africa,Guinea,Conakry,21,82.4
Africa,Guinea,Conakry,22,84.0
Africa,Guinea,Conakry,23,-99.0
Africa,Guinea,Conakry,24,83.2
Africa,Guinea,Conakry,25,83.5
Africa,Guinea,Conakry,26,84.0
Africa,Guinea,Conakry,27,84.6
Africa,Guinea,Conakry,28,81.1
Africa,Guinea,Conakry,29,80.0
Africa,Guinea,Conakry,30,85.4
Africa,Guinea-Bissau,Bissau,1,84.8
Africa,Guinea-Bissau,Bissau,2,86.0
Africa,Guinea-Bissau,Bissau,3,83.0
Africa,Guinea-Bissau,Bissau,4,84.8
Africa,Guinea-Bissau,Bissau,5,85.2
Africa,Guinea-Bissau,Bissau,6,82.4
Africa,Guinea-Bissau,Bissau,7,81.9
Africa,Guinea-Bissau,Bissau,8,82.1
Africa,Guinea-Bissau,Bissau,9,84.4
Africa,Guinea-Bissau,Bissau,10,83.3
Africa,Guinea-Bissau,Bissau,11,83.7
Africa,Guinea-Bissau,Bissau,12,84.7
Africa,Guinea-Bissau,Bissau,13,82.3
Africa,Guinea-Bissau,Bissau,14,83.8
Africa,Guinea-Bissau,Bissau,15,81.0
Africa,Guinea-Bissau,Bissau,16,83.7
Africa,Guinea-Bissau,Bissau,17,81.9
Africa,Guinea-Bissau,Bissau,18,80.1
Africa,Guinea-Bissau,Bissau,19,83.1
Africa,Guinea-Bissau,Bissau,20,80.9
Africa,Guinea-Bissau,Bissau,21,83.0
Africa,Guinea-Bissau,Bissau,22,83.5
Africa,Guinea-Bissau,Bissau,23,82.5
Africa,Guinea-Bissau,Bissau,24,82.3
Africa,Guinea-Bissau,Bissau,25,82.1
Africa,Guinea-Bissau,Bissau,26,82.4
Africa,Guinea-Bissau,Bissau,27,82.1
Africa,Guinea-Bissau,Bissau,28,83.7
Africa,Guinea-Bissau,Bissau,29,80.6
Africa,Guinea-Bissau,Bissau,30,83.4
Africa,Ivory Coast,Abidjan,1,81.4
Africa,Ivory Coast,Abidjan,2,81.9
Africa,Ivory Coast,Abidjan,3,83.9
Africa,Ivory Coast,Abidjan,4,82.0
Africa,Ivory Coast,Abidjan,5,82.3
Africa,Ivory Coast,Abidjan,6,79.4
Africa,Ivory Coast,Abidjan,7,80.1
Africa,Ivory Coast,Abidjan,8,82.9
Africa,Ivory Coast,Abidjan,9,81.6
Africa,Ivory Coast,Abidjan,10,82.6
Africa,Ivory Coast,Abidjan,11,83.4
Africa,Ivory Coast,Abidjan,12,83.7
Africa,Ivory Coast,Abidjan,13,82.3
Africa,Ivory Coast,Abidjan,14,82.0
Africa,Ivory Coast,Abidjan,15,82.1
Africa,Ivory Coast,Abidjan,16,80.3
Africa,Ivory Coast,Abidjan,17,80.3
Africa,Ivory Coast,Abidjan,18,82.8
Africa,Ivory Coast,Abidjan,19,83.3
Africa,Ivory Coast,Abidjan,20,80.9
Africa,Ivory Coast,Abidjan,21,81.7
Africa,Ivory Coast,Abidjan,22,79.0
Africa,Ivory Coast,Abidjan,23,79.4
Africa,Ivory Coast,Abidjan,24,79.9
Africa,Ivory Coast,Abidjan,25,81.1
Africa,Ivory Coast,Abidjan,26,80.0
Africa,Ivory Coast,Abidjan,27,81.2
Africa,Ivory Coast,Abidjan,28,83.2
Africa,Ivory Coast,Abidjan,29,83.2
Africa,Ivory Coast,Abidjan,30,81.5
Africa,Kenya,Nairobi,1,68.3
Africa,Kenya,Nairobi,2,65.3
Africa,Kenya,Nairobi,3,64.0
Africa,Kenya,Nairobi,4,65.7
Africa,Kenya,Nairobi,5,64.0
Africa,Kenya,Nairobi,6,64.7
Africa,Kenya,Nairobi,7,67.2
Africa,Kenya,Nairobi,8,67.4
Africa,Kenya,Nairobi,9,66.9
Africa,Kenya,Nairobi,10,66.9
Africa,Kenya,Nairobi,11,69.4
Africa,Kenya,Nairobi,12,66.1
Africa,Kenya,Nairobi,13,66.1
Africa,Kenya,Nairobi,14,65.5
Africa,Kenya,Nairobi,15,66.0
Africa,Kenya,Nairobi,16,67.4
Africa,Kenya,Nairobi,17,67.3
Africa,Kenya,Nairobi,18,67.2
Africa,Kenya,Nairobi,19,65.7
Africa,Kenya,Nairobi,20,66.2
Africa,Kenya,Nairobi,21,67.5
Africa,Kenya,Nairobi,22,69.6
Africa,Kenya,Nairobi,23,-99.0
Africa,Kenya,Nairobi,24,70.5
Africa,Kenya,Nairobi,25,65.8
Africa,Kenya,Nairobi,26,66.7
Africa,Kenya,Nairobi,27,67.5
Africa,Kenya,Nairobi,28,67.9
Africa,Kenya,Nairobi,29,68.8
Africa,Kenya,Nairobi,30,67.0
Africa,Morocco,Rabat,1,61.1
Africa,Morocco,Rabat,2,62.9
Africa,Morocco,Rabat,3,65.1
Africa,Morocco,Rabat,4,65.2
Africa,Morocco,Rabat,5,62.1
Africa,Morocco,Rabat,6,59.5
Africa,Morocco,Rabat,7,59.9
Africa,Morocco,Rabat,8,58.4
Africa,Morocco,Rabat,9,59.9
Africa,Morocco,Rabat,10,56.7
Africa,Morocco,Rabat,11,58.0
Africa,Morocco,Rabat,12,56.7
Africa,Morocco,Rabat,13,57.4
Africa,Morocco,Rabat,14,58.8
Africa,Morocco,Rabat,15,56.1
Africa,Morocco,Rabat,16,55.5
Africa,Morocco,Rabat,17,55.3
Africa,Morocco,Rabat,18,55.3
Africa,Morocco,Rabat,19,55.4
Africa,Morocco,Rabat,20,56.4
Africa,Morocco,Rabat,21,56.7
Africa,Morocco,Rabat,22,57.9
Africa,Morocco,Rabat,23,60.8
Africa,Morocco,Rabat,24,60.7
Africa,Morocco,Rabat,25,62.5
Africa,Morocco,Rabat,26,63.8
Africa,Morocco,Rabat,27,64.3
Africa,Morocco,Rabat,28,67.1
Africa,Morocco,Rabat,29,66.2
Africa,Morocco,Rabat,30,59.4
Africa,Madagascar,Antananarivo,1,65.1
Africa,Madagascar,Antananarivo,2,63.9
Africa,Madagascar,Antananarivo,3,66.6
Africa,Madagascar,Antananarivo,4,65.7
Africa,Madagascar,Antananarivo,5,66.6
Africa,Madagascar,Antananarivo,6,69.0
Africa,Madagascar,Antananarivo,7,68.4
Africa,Madagascar,Antananarivo,8,71.3
Africa,Madagascar,Antananarivo,9,71.1
Africa,Madagascar,Antananarivo,10,71.7
Africa,Madagascar,Antananarivo,11,69.5
Africa,Madagascar,Antananarivo,12,74.1
Africa,Madagascar,Antananarivo,13,71.4
Africa,Madagascar,Antananarivo,14,69.1
Africa,Madagascar,Antananarivo,15,65.7
Africa,Madagascar,Antananarivo,16,69.2
Africa,Madagascar,Antananarivo,17,68.9
Africa,Madagascar,Antananarivo,18,70.8
Africa,Madagascar,Antananarivo,19,70.5
Africa,Madagascar,Antananarivo,20,69.2
Africa,Madagascar,Antananarivo,21,67.8
Africa,Madagascar,Antananarivo,22,67.3
Africa,Madagascar,Antananarivo,23,67.0
Africa,Madagascar,Antananarivo,24,67.9
Africa,Madagascar,Antananarivo,25,69.0
Africa,Madagascar,Antananarivo,26,70.6
Africa,Madagascar,Antananarivo,27,72.5
Africa,Madagascar,Antananarivo,28,70.9
Africa,Madagascar,Antananarivo,29,68.7
Africa,Madagascar,Antananarivo,30,68.0
Africa,Mauritania,Nouakchott,1,80.7
Africa,Mauritania,Nouakchott,2,87.4
Africa,Mauritania,Nouakchott,3,84.9
Africa,Mauritania,Nouakchott,4,81.3
Africa,Mauritania,Nouakchott,5,80.1
Africa,Mauritania,Nouakchott,6,74.3
Africa,Mauritania,Nouakchott,7,73.2
Africa,Mauritania,Nouakchott,8,74.2
Africa,Mauritania,Nouakchott,9,78.3
Africa,Mauritania,Nouakchott,10,82.0
Africa,Mauritania,Nouakchott,11,87.1
Africa,Mauritania,Nouakchott,12,84.6
Africa,Mauritania,Nouakchott,13,76.6
Africa,Mauritania,Nouakchott,14,79.5
Africa,Mauritania,Nouakchott,15,77.6
Africa,Mauritania,Nouakchott,16,77.0
Africa,Mauritania,Nouakchott,17,76.8
Africa,Mauritania,Nouakchott,18,76.2
Africa,Mauritania,Nouakchott,19,77.1
Africa,Mauritania,Nouakchott,20,72.3
Africa,Mauritania,Nouakchott,21,72.9
Africa,Mauritania,Nouakchott,22,71.4
Africa,Mauritania,Nouakchott,23,74.4
Africa,Mauritania,Nouakchott,24,76.2
Africa,Mauritania,Nouakchott,25,82.9
Africa,Mauritania,Nouakchott,26,85.4
Africa,Mauritania,Nouakchott,27,82.0
Africa,Mauritania,Nouakchott,28,80.0
Africa,Mauritania,Nouakchott,29,77.5
Africa,Mauritania,Nouakchott,30,78.3
Africa,Mozambique,Maputo,1,75.6
Africa,Mozambique,Maputo,2,77.1
Africa,Mozambique,Maputo,3,77.5
Africa,Mozambique,Maputo,4,76.4
Africa,Mozambique,Maputo,5,75.7
Africa,Mozambique,Maputo,6,77.5
Africa,Mozambique,Maputo,7,70.7
Africa,Mozambique,Maputo,8,65.8
Africa,Mozambique,Maputo,9,70.5
Africa,Mozambique,Maputo,10,74.2
Africa,Mozambique,Maputo,11,73.7
Africa,Mozambique,Maputo,12,75.8
Africa,Mozambique,Maputo,13,78.1
Africa,Mozambique,Maputo,14,79.4
Africa,Mozambique,Maputo,15,76.9
Africa,Mozambique,Maputo,16,66.9
Africa,Mozambique,Maputo,17,70.2
Africa,Mozambique,Maputo,18,74.2
Africa,Mozambique,Maputo,19,77.6
Africa,Mozambique,Maputo,20,78.3
Africa,Mozambique,Maputo,21,77.2
Africa,Mozambique,Maputo,22,77.0
Africa,Mozambique,Maputo,23,70.2
Africa,Mozambique,Maputo,24,73.6
Africa,Mozambique,Maputo,25,70.7
Africa,Mozambique,Maputo,26,73.3
Africa,Mozambique,Maputo,27,70.5
Africa,Mozambique,Maputo,28,72.1
Africa,Mozambique,Maputo,29,75.6
Africa,Mozambique,Maputo,30,76.7
Africa,Namibia,Windhoek,1,65.6
Africa,Namibia,Windhoek,2,66.8
Africa,Namibia,Windhoek,3,69.4
Africa,Namibia,Windhoek,4,74.3
Africa,Namibia,Windhoek,5,78.4
Africa,Namibia,Windhoek,6,79.8
Africa,Namibia,Windhoek,7,77.0
Africa,Namibia,Windhoek,8,77.5
Africa,Namibia,Windhoek,9,75.9
Africa,Namibia,Windhoek,10,71.4
Africa,Namibia,Windhoek,11,73.9
Africa,Namibia,Windhoek,12,74.4
Africa,Namibia,Windhoek,13,73.4
Africa,Namibia,Windhoek,14,70.4
Africa,Namibia,Windhoek,15,59.2
Africa,Namibia,Windhoek,16,59.9
Africa,Namibia,Windhoek,17,67.5
Africa,Namibia,Windhoek,18,68.3
Africa,Namibia,Windhoek,19,-99.0
Africa,Namibia,Windhoek,20,82.2
Africa,Namibia,Windhoek,21,75.3
Africa,Namibia,Windhoek,22,76.5
Africa,Namibia,Windhoek,23,75.6
Africa,Namibia,Windhoek,24,76.6
Africa,Namibia,Windhoek,25,79.1
Africa,Namibia,Windhoek,26,76.9
Africa,Namibia,Windhoek,27,79.8
Africa,Namibia,Windhoek,28,77.6
Africa,Namibia,Windhoek,29,81.0
Africa,Namibia,Windhoek,30,80.1
Africa,Nigeria,Niamey,1,86.9
Africa,Nigeria,Niamey,2,85.8
Africa,Nigeria,Niamey,3,85.5
Africa,Nigeria,Niamey,4,85.1
Africa,Nigeria,Niamey,5,83.6
Africa,Nigeria,Niamey,6,83.2
Africa,Nigeria,Niamey,7,82.8
Africa,Nigeria,Niamey,8,82.5
Africa,Nigeria,Niamey,9,84.2
Africa,Nigeria,Niamey,10,82.9
Africa,Nigeria,Niamey,11,82.6
Africa,Nigeria,Niamey,12,81.7
Africa,Nigeria,Niamey,13,82.1
Africa,Nigeria,Niamey,14,82.5
Africa,Nigeria,Niamey,15,84.3
Africa,Nigeria,Niamey,16,85.7
Africa,Nigeria,Niamey,17,86.3
Africa,Nigeria,Niamey,18,86.6
Africa,Nigeria,Niamey,19,86.6
Africa,Nigeria,Niamey,20,85.7
Africa,Nigeria,Niamey,21,85.8
Africa,Nigeria,Niamey,22,84.3
Africa,Nigeria,Niamey,23,84.0
Africa,Nigeria,Niamey,24,82.8
Africa,Nigeria,Niamey,25,82.2
Africa,Nigeria,Niamey,26,80.2
Africa,Nigeria,Niamey,27,82.4
Africa,Nigeria,Niamey,28,80.1
Africa,Nigeria,Niamey,29,81.6
Africa,Nigeria,Niamey,30,82.3
Africa,Nigeria,Lagos,1,81.0
Africa,Nigeria,Lagos,2,80.9
Africa,Nigeria,Lagos,3,82.2
Africa,Nigeria,Lagos,4,79.3
Africa,Nigeria,Lagos,5,76.6
Africa,Nigeria,Lagos,6,-99.0
Africa,Nigeria,Lagos,7,-99.0
Africa,Nigeria,Lagos,8,-99.0
Africa,Nigeria,Lagos,9,-99.0
Africa,Nigeria,Lagos,10,-99.0
Africa,Nigeria,Lagos,11,-99.0
Africa,Nigeria,Lagos,12,-99.0
Africa,Nigeria,Lagos,13,-99.0
Africa,Nigeria,Lagos,14,-99.0
Africa,Nigeria,Lagos,15,-99.0
Africa,Nigeria,Lagos,16,-99.0
Africa,Nigeria,Lagos,17,-99.0
Africa,Nigeria,Lagos,18,-99.0
Africa,Nigeria,Lagos,19,-99.0
Africa,Nigeria,Lagos,20,-99.0
Africa,Nigeria,Lagos,21,-99.0
Africa,Nigeria,Lagos,22,-99.0
Africa,Nigeria,Lagos,23,-99.0
Africa,Nigeria,Lagos,24,-99.0
Africa,Nigeria,Lagos,25,-99.0
Africa,Nigeria,Lagos,26,-99.0
Africa,Nigeria,Lagos,27,85.1
Africa,Nigeria,Lagos,28,82.1
Africa,Nigeria,Lagos,29,82.7
Africa,Nigeria,Lagos,30,82.9
Africa,Senegal,Dakar,1,83.1
Africa,Senegal,Dakar,2,84.4
Africa,Senegal,Dakar,3,83.5
Africa,Senegal,Dakar,4,83.2
Africa,Senegal,Dakar,5,83.4
Africa,Senegal,Dakar,6,81.9
Africa,Senegal,Dakar,7,81.2
Africa,Senegal,Dakar,8,80.8
Africa,Senegal,Dakar,9,82.2
Africa,Senegal,Dakar,10,82.5
Africa,Senegal,Dakar,11,82.6
Africa,Senegal,Dakar,12,85.1
Africa,Senegal,Dakar,13,83.6
Africa,Senegal,Dakar,14,83.2
Africa,Senegal,Dakar,15,81.6
Africa,Senegal,Dakar,16,80.5
Africa,Senegal,Dakar,17,80.9
Africa,Senegal,Dakar,18,81.1
Africa,Senegal,Dakar,19,80.9
Africa,Senegal,Dakar,20,80.9
Africa,Senegal,Dakar,21,81.1
Africa,Senegal,Dakar,22,80.0
Africa,Senegal,Dakar,23,79.9
Africa,Senegal,Dakar,24,80.4
Africa,Senegal,Dakar,25,80.7
Africa,Senegal,Dakar,26,81.3
Africa,Senegal,Dakar,27,83.1
Africa,Senegal,Dakar,28,82.0
Africa,Senegal,Dakar,29,82.3
Africa,Senegal,Dakar,30,78.7
Africa,South Africa,Capetown,1,66.1
Africa,South Africa,Capetown,2,67.0
Africa,South Africa,Capetown,3,63.8
Africa,South Africa,Capetown,4,63.0
Africa,South Africa,Capetown,5,64.1
Africa,South Africa,Capetown,6,62.9
Africa,South Africa,Capetown,7,64.6
Africa,South Africa,Capetown,8,69.5
Africa,South Africa,Capetown,9,66.4
Africa,South Africa,Capetown,10,66.1
Africa,South Africa,Capetown,11,65.1
Africa,South Africa,Capetown,12,66.3
Africa,South Africa,Capetown,13,62.7
Africa,South Africa,Capetown,14,59.8
Africa,South Africa,Capetown,15,60.9
Africa,South Africa,Capetown,16,63.5
Africa,South Africa,Capetown,17,64.7
Africa,South Africa,Capetown,18,63.4
Africa,South Africa,Capetown,19,66.0
Africa,South Africa,Capetown,20,61.7
Africa,South Africa,Capetown,21,58.1
Africa,South Africa,Capetown,22,57.0
Africa,South Africa,Capetown,23,59.8
Africa,South Africa,Capetown,24,63.8
Africa,South Africa,Capetown,25,66.6
Africa,South Africa,Capetown,26,64.9
Africa,South Africa,Capetown,27,68.0
Africa,South Africa,Capetown,28,66.4
Africa,South Africa,Capetown,29,71.8
Africa,South Africa,Capetown,30,69.6
Africa,Togo,Lome,1,82.3
Africa,Togo,Lome,2,82.1
Africa,Togo,Lome,3,83.0
Africa,Togo,Lome,4,83.6
Africa,Togo,Lome,5,82.4
Africa,Togo,Lome,6,80.3
Africa,Togo,Lome,7,82.7
Africa,Togo,Lome,8,83.4
Africa,Togo,Lome,9,84.0
Africa,Togo,Lome,10,84.0
Africa,Togo,Lome,11,83.9
Africa,Togo,Lome,12,84.0
Africa,Togo,Lome,13,84.2
Africa,Togo,Lome,14,84.0
Africa,Togo,Lome,15,83.8
Africa,Togo,Lome,16,82.2
Africa,Togo,Lome,17,82.8
Africa,Togo,Lome,18,83.3
Africa,Togo,Lome,19,83.0
Africa,Togo,Lome,20,82.8
Africa,Togo,Lome,21,82.8
Africa,Togo,Lome,22,80.9
Africa,Togo,Lome,23,80.9
Africa,Togo,Lome,24,82.1
Africa,Togo,Lome,25,81.8
Africa,Togo,Lome,26,80.3
